Time,HR bpm
11:57.9,192
11:58.2,194
11:58.5,194
11:58.8,190
11:59.1,192
11:59.5,194
11:59.8,192
12:00.1,195
12:00.4,190
12:00.7,192
12:01.0,192
12:01.3,193
12:01.6,193
12:02.0,194
12:02.3,196
12:02.6,194
12:02.9,189
12:03.2,194
12:03.5,191
12:03.8,197
12:04.1,191
12:04.4,195
12:04.7,196
12:05.0,192
12:05.4,192
12:05.7,193
12:06.0,194
12:06.3,194
12:06.6,192
12:06.9,195
12:07.2,197
12:07.5,192
12:07.8,192
12:08.2,193
12:08.5,195
12:08.8,195
12:09.1,195
12:09.4,197
12:09.7,196
12:10.0,192
12:10.3,193
12:10.6,194
12:10.9,197
12:11.2,195
12:11.5,194
12:11.9,197
12:12.2,196
12:12.5,192
12:12.8,192
12:13.1,195
12:13.4,198
12:13.7,194
12:14.0,193
12:14.3,198
12:14.6,196
12:14.9,192
12:15.2,194
12:15.5,196
12:15.9,196
12:16.2,196
12:16.5,194
12:16.8,197
12:17.1,193
12:17.4,193
12:17.7,194
12:18.0,198
12:18.3,197
12:18.6,194
12:18.9,195
12:19.2,195
12:19.5,194
12:19.9,194
12:20.2,194
12:20.5,200
12:20.8,196
12:21.1,197
12:21.4,192
12:21.7,197
12:22.0,192
12:22.3,198
12:22.6,194
12:22.9,198
12:23.2,197
12:23.5,197
12:23.8,194
12:24.1,196
12:24.4,195
12:24.8,197
12:25.1,196
12:25.4,197
12:25.7,199
12:26.0,197
12:26.3,193
12:26.6,195
12:26.9,197
12:27.2,199
12:27.5,195
12:27.8,199
12:28.1,199
12:28.4,194
12:28.7,195
12:29.0,196
12:29.3,199
12:29.6,198
12:29.9,196
12:30.2,195
12:30.6,197
12:30.9,194
12:31.2,195
12:31.5,197
12:31.8,199
12:32.1,199
12:32.4,198
12:32.7,192
12:33.0,197
12:33.3,194
12:33.6,201
12:33.9,196
12:34.2,198
12:34.5,199
12:34.8,196
12:35.1,194
12:35.4,194
12:35.7,199
12:36.0,199
12:36.3,197
12:36.7,194
12:37.0,199
12:37.3,193
12:37.6,195
12:37.9,196
12:38.2,201
12:38.5,197
12:38.8,199
12:39.1,194
12:39.4,195
12:39.7,195
12:40.0,198
12:40.3,197
12:40.6,196
12:40.9,199
12:41.2,197
12:41.5,195
12:41.8,197
12:42.1,195
12:42.5,200
12:42.8,199
12:43.1,198
12:43.4,192
12:43.7,197
12:44.0,195
12:44.3,197
12:44.6,197
12:44.9,199
12:45.2,199
12:45.5,194
12:45.8,194
12:46.1,197
12:46.4,198
12:46.7,197
12:47.0,195
12:47.3,200
12:47.6,196
12:47.9,194
12:48.3,194
12:48.6,198
12:48.9,199
12:49.2,198
12:49.5,193
12:49.8,197
12:50.1,194
12:50.4,195
12:50.7,195
12:51.0,200
12:51.3,197
12:51.6,198
12:51.9,193
12:52.2,197
12:52.5,194
12:52.8,197
12:53.1,197
12:53.4,201
12:53.7,199
12:54.0,193
12:54.4,194
12:54.7,195
12:55.0,199
12:55.3,195
12:55.6,200
12:55.9,197
12:56.2,194
12:56.5,194
12:56.8,195
12:57.1,197
12:57.4,199
12:57.7,195
12:58.0,197
12:58.3,194
12:58.6,195
12:59.0,195
12:59.3,197
12:59.6,199
12:59.9,195
13:00.2,195
13:00.5,194
13:00.8,195
13:01.1,195
13:01.4,197
13:01.7,198
13:02.0,195
13:02.3,196
13:02.6,194
13:02.9,194
13:03.2,195
13:03.6,198
13:03.9,199
13:04.2,194
13:04.5,197
13:04.8,194
13:05.1,193
13:05.4,195
13:05.7,199
13:06.0,199
13:06.3,196
13:06.6,195
13:06.9,197
13:07.2,195
13:07.5,194
13:07.8,198
13:08.1,198
13:08.4,201
13:08.7,194
13:09.1,196
13:09.4,196
13:09.7,193
13:10.0,196
13:10.3,197
13:10.6,197
13:10.9,196
13:11.2,197
13:11.5,198
13:11.8,194
13:12.1,195
13:12.4,196
13:12.7,196
13:13.0,195
13:13.3,195
13:13.6,195
13:14.0,195
13:14.3,196
