Time,HR bpm
04:05.6,123
04:06.1,126
04:06.6,127
04:07.1,126
04:07.5,124
04:08.0,132
04:08.5,128
04:09.0,128
04:09.4,128
04:09.9,127
04:10.4,127
04:10.8,133
04:11.3,131
04:11.7,128
04:12.2,129
04:12.7,128
04:13.1,128
04:13.6,134
04:14.1,134
04:14.5,133
04:15.0,133
04:15.4,132
04:15.9,131
04:16.3,133
04:16.8,138
04:17.2,135
04:17.7,133
04:18.1,135
04:18.6,132
04:19.0,133
04:19.5,137
04:19.9,139
04:20.3,137
04:20.8,137
04:21.2,137
04:21.6,135
04:22.1,135
04:22.5,138
04:23.0,140
04:23.4,138
04:23.8,138
04:24.3,137
04:24.7,135
04:25.1,135
04:25.6,137
04:26.0,138
04:26.5,139
04:26.9,139
04:27.3,137
04:27.8,136
04:28.2,135
04:28.6,134
04:29.1,135
04:29.5,138
04:30.0,138
04:30.4,137
04:30.8,137
04:31.3,135
04:31.7,134
04:32.2,133
04:32.6,133
04:33.1,135
04:33.5,137
04:34.0,137
04:34.4,135
04:34.8,134
04:35.3,133
04:35.7,132
04:36.2,134
04:36.6,137
04:37.1,139
04:37.5,138
04:37.9,136
04:38.4,135
04:38.8,136
04:39.3,136
04:39.7,138
04:40.1,140
04:40.6,141
04:41.0,139
04:41.4,137
04:41.9,136
04:42.3,137
04:42.8,137
04:43.2,138
04:43.6,140
04:44.1,143
04:44.5,141
04:44.9,139
04:45.3,139
04:45.8,137
04:46.2,138
04:46.6,137
04:47.1,138
04:47.5,139
04:47.9,140
04:48.4,141
04:48.8,142
04:49.2,140
04:49.6,138
04:50.1,138
04:50.5,137
04:51.0,138
04:51.4,138
04:51.8,141
04:52.3,144
04:52.7,143
04:53.1,144
04:53.5,144
04:53.9,143
04:54.3,141
04:54.8,141
04:55.2,141
04:55.6,141
04:56.0,140
04:56.5,142
04:56.9,144
04:57.3,143
04:57.7,144
04:58.2,146
04:58.6,146
04:59.0,145
04:59.4,148
04:59.8,147
05:00.2,146
05:00.6,145
05:01.0,146
05:01.4,146
05:01.8,146
05:02.3,145
05:02.7,147
05:03.1,146
05:03.5,147
05:03.9,147
05:04.3,149
05:04.7,148
05:05.1,149
05:05.5,148
05:05.9,148
05:06.3,149
05:06.7,149
05:07.1,148
05:07.5,148
05:08.0,149
05:08.4,149
05:08.8,148
05:09.2,149
05:09.6,149
05:10.0,149
05:10.4,149
05:10.8,150
05:11.2,150
05:11.6,149
05:12.0,150
05:12.4,150
05:12.8,150
05:13.2,150
05:13.6,150
05:14.0,151
05:14.4,151
05:14.8,150
05:15.2,150
05:15.6,151
05:16.0,151
05:16.4,150
05:16.8,151
05:17.2,151
05:17.6,151
05:18.0,150
05:18.4,150
05:18.8,150
05:19.2,152
05:19.6,151
05:19.9,151
05:20.3,150
05:20.7,149
05:21.1,148
05:21.6,149
05:22.0,150
05:22.4,150
05:22.8,150
05:23.2,152
05:23.6,152
05:23.9,152
05:24.3,152
05:24.7,153
05:25.1,152
05:25.5,154
05:25.9,153
05:26.3,155
05:26.7,153
05:27.1,153
05:27.5,153
05:27.9,155
05:28.3,155
05:28.6,154
05:29.0,154
05:29.4,154
05:29.8,154
05:30.2,154
05:30.6,156
05:31.0,155
05:31.4,155
05:31.7,154
05:32.1,157
05:32.5,156
05:32.9,156
05:33.3,155
05:33.7,156
05:34.1,156
05:34.4,157
05:34.8,157
05:35.2,159
05:35.6,157
05:36.0,159
05:36.3,160
05:36.7,161
05:37.1,157
05:37.5,161
05:37.8,162
05:38.2,160
05:38.6,160
05:39.0,158
05:39.3,159
05:39.7,159
05:40.1,160
05:40.5,158
05:40.9,160
05:41.2,159
05:41.6,160
05:42.0,160
05:42.4,161
05:42.7,163
05:43.1,162
05:43.5,160
05:43.8,162
05:44.2,163
05:44.6,162
05:45.0,161
05:45.3,161
05:45.7,163
05:46.1,160
05:46.4,161
05:46.8,160
05:47.2,161
05:47.6,161
05:47.9,163
05:48.3,162
05:48.7,161
05:49.0,161
05:49.4,163
05:49.8,163
05:50.2,163
05:50.5,161
05:50.9,160
05:51.3,160
05:51.6,159
05:52.0,160
